type,condition,result,meaning
网络效应锁定门槛,"弱网络效应 alpha=beta=0.3, u_A(0)=m_A(0)=0.85",最终用户份额约 0.502，锁定指数约 0.252,弱网络效应无法维持高初始份额，系统回到共存附近
网络效应锁定门槛,"中等网络效应 alpha=beta=0.8, u_A(0)=m_A(0)=0.85",最终用户份额约 0.675，锁定指数约 0.455,中等网络效应会放大初始优势，但不足以形成严格锁定
网络效应锁定门槛,"强网络效应 alpha=beta=1.5, u_A(0)=m_A(0)=0.55",最终用户份额约 0.956，锁定指数约 0.913,强网络效应会把小幅初始领先放大为市场锁定
服务质量突破门槛,中等网络效应 alpha=beta=0.8,平台 B 打破锁定需要约 Delta q = 0.06,中等网络效应下，较小质量优势即可打破初始领先
服务质量突破门槛,强网络效应 alpha=beta=1.5,平台 B 打破锁定需要约 Delta q = 0.35,强网络效应显著提高挑战者质量突破门槛
切换成本影响,中等网络效应，s 从 0 增加到 1.5,质量突破阈值从 0.06 上升到 0.69,切换成本强化已有平台锁定
切换成本影响,强网络效应，s 从 0 增加到 1.5,质量突破阈值从 0.35 上升到 1.11,强网络效应和高切换成本叠加，显著提高逆袭难度
低预算补贴,B=0.10,只补贴用户可使 B 用户侧先跨过 0.5，略优于均衡补贴,低预算下集中撬动一侧可能略有启动优势
低预算补贴,B=0.20,均衡补贴最终平均份额略优于单侧补贴,预算提高后，同步推动两侧更有利于形成双边正反馈
补贴退出,"B=1.20, T_s=8.95",贴现利润约 164.49，略高于持续均衡补贴 164.29,适时退出可减少低边际收益阶段的补贴浪费
供给约束,"N_U=1000, N_M=50, rho=10.0, theta=1.0, budget=0.8",只补贴商户利润最高，只补贴用户利润最低,用户规模远大于商户规模时，应优先补足供给侧
质量投资,"lambda_q=0.05, d=0.01, qmax=3.0",动态策略和纯质量投资策略在长期表现较稳健,质量投资具有累积效应，但也受转化效率和衰减率约束
